id,pop_size,lex_size,vocab_size,epsilon,speech_len,alpha,beta,left_prop,num_folds,model,param_grid,scoring,calibrate,cal_method,rho,score
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7114033820482225,-0.28645683131428695
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7692150520755991,-0.19254677104477508
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.566429086528384,-0.35497952474476985
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.582815669941918,-0.3876978528112338
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7902824569107088,-0.17739180334093646
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5218826028185325,-0.3261872544709791
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6118756285112462,-0.3625186536584081
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7440838323026019,-0.22656895550725453
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6020480044715041,-0.37334637538352483
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6716351907070844,-0.31312534521463176
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.9150047541065958,-0.025738485056518146
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.9164105927904995,-0.027536408004622575
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.75503746605875,-0.2098245569978206
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7400618982450512,-0.25089868902636325
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5066870110849526,-0.3709214196417249
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.9400546685309021,-0.01979688187950677
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7578630068149337,-0.2245363399424626
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8562906483244808,-0.08076540561892029
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.752700812124366,-0.22130642359438574
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8948008587042205,-0.0283039578772958
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.762888122838804,-0.21239937283439653
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8189824218660298,-0.1052839346001588
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5668400531104063,-0.40040884253407477
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6928028325355534,-0.2761101150079891
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8122505298540852,-0.13755322764336309
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5470788850352839,-0.3725542912529642
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.6978223569985658,-0.30240763115303815
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5747909664670401,-0.3604894885073121
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.7281403831688213,-0.2669822029696029
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8685661388612956,-0.05262707176709501
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.5405480306259973,-0.33360202338561534
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.8600309378123653,-0.0893786459968323
1,1000,10,30,0.05,15,3,3,0.5,5,GradientBoostingClassifier(),{},neg_log_loss,True,sigmoid,0.754306859281012,-0.2202546534619209
